name,apparition,affiliations,occupations,origin,status,age,birthday,height,weight,bloodtype,fruit.name,devilfruit.type,residence,bounty
Koda,"Chapter 285(cover)[1],Episode 381(newspaper)[2]",Marines[1];G-2,Chef,,Alive,,,,,,,,G-2,
,Chapter 930;Episode 923[1],,,,Alive,,,,,,,,Wano Country(Ebisu Town)[1],
,Chapter 960;Episode 960[1],,,,Unknown,,,,,,,,Wano Country,
,Chapter 926;Episode 918[1],Kouzuki Family;[1]Ninja-Pirate-Mink-Samurai Alliance[2],Samurai[3],,Alive,,,,,,,,Wano Country(Flower Capital)[1],
Kokoro,Chapter 322;Episode 229[1],Tom's Workers[2],"Stationmaster;[1]""Lovely"" secretary ofTom(former)[2]",Grand Line(Ryugu Kingdom;Fish-Man Island)[3],Alive,70 (debut)72 (after timeskip)[3],October 5th[4],"168 cm (5'6"")[3]",,S[3],,,Water 7;Fish-Man Island(former),
Komachiyo,Chapter 910;Episode 892[1],Kurozumi Tama;Ninja-Pirate-Mink-Samurai Alliance(disbanded),,,Alive,,,,,,,,"Amigasa Village, Kuri,Wano Country[2]",
Komakkov,SBS Volume 108[1],Marines,Cook,,Alive,,,,,,,,,
Comane,"Chapter 903,Episode 879[1]",Lulusia Kingdom[2],Princess[2](former)[3],,Unknown,,,,,,,,,
Kombu (Viz);Konbu (Funimation),Chapter 657;Episode 582[1],,,,Alive,,,,,,,,,
Kong,Chapter 0;Episode 0[1],World Government;Marines(former),Commander-in-Chief;Fleet Admiral(former),,Alive,,May 9th[2],,,,,,Mary Geoise;Marine Headquarters(Marineford) (former),
Kopp[1],Chapter 325;Episode 231[2],Franky Family,"Dismantler,Bounty Hunter",,Alive,,,,,,,,Water 7,
,Chapter 959;Episode 960[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,Peregrine FalconSMILE,Artificial Zoan,,
Kotatsu,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Kotetsu,Chapter 912;Episode 897(mentioned)[1],,Swordsmith[1],,Deceased,,,,,,,,,
Hotori and Kotori,Chapter 261;Episode 171[1],God's Army,Lieutenants of theDivine Soldiers,Sky Islands(Birka)[2],Unknown,25 (debut)27 (after timeskip)[2],March 10th[2],"179 cm (5'10"")[2]",,S[2],,,,
Kozuki Hiyori;Kouzuki Hiyori (OPCG),Chapter 909;Episode 892[1],Kouzuki Family;Ninja-Pirate-Mink-Samurai Alliance(disbanded),Oiran[2],Grand Line(Moby Dick)[3],Alive,26[5],December 23rd[6],"170 cm (5'7"")[6]",,XF[6],,,Wano Country(Kuri;Flower Capital),
"Kozuki Momonosuke (VIZ); Kouzuki Momonosuke (WT100,OPCG)[1]",Chapter 684;Episode 609[2],Kouzuki Family;[3]Ninja-Pirate-Mink-Samurai Alliance(disbanded),Shogun[4],Grand Line(Moby Dick)[5],Alive,8[6](born 28 years ago)(biologically 28)[7][N 1],October 7th[8],"110 cm (3'7"") (child body)322 cm (10'7"") (current)[8]",,X[8],"Fish-Fish Fruit, Model: Azure Dragon[9]Fish-Fish Fruit, Azure Dragon Model[10]",ArtificialMythical Zoan,Wano Country(Kuri),
Kozuki Oden;Kouzuki Oden (OPCG),Chapter 920;Episode 910[1],Kouzuki Family;[2]Roger Pirates(former);Whitebeard Pirates(former)[3],Samurai;Daimyo;[2]Pirate[3](former); 2nd DivisionCommander(former),Grand Line(Wano Country)[4],Deceased,,February 22nd[8],"382 cm (12'6"")[8]",,F[7],,,Wano Country(Kuri); (Flower Capital) (former),Unknown[9]
Kozuki Sukiyaki,Chapter 911;Episode 894[1],Kouzuki Family[3];Ninja-Pirate-Mink-Samurai Alliance(disbanded),Swordsmith;[2]Shogun(former)[3],,Alive,81[4],May 19th[4],"214 cm (7'0"")[4]",,F[4],,,"Wano Country(Amigasa Village, formerlyFlower Capital)",
Kozuki Toki;Kouzuki Toki (OPCG),Chapter 919;Episode 893,Kouzuki Family;[1]Amatsuki Family;Whitebeard Pirates(former);[2]Roger Pirates(former),,,Deceased,,January 19th[4],"190 cm (6'3"")[4]",,X[4],Time-Time Ability (VIZ);Time-Time Fruit (Funimation),Paramecia,Wano Country(Kuri)[1],
Koyama,Chapter 960;Episode 960[3],Kouzuki Family[1],Retainer[2],,Unknown,,,,,,,,Wano Country,
Koza,Chapter 163;Episode 93[1],Arabasta Kingdom;Sand-Sand Clan(former);Rebel Army (former),Environmental Minister;[2]Rebel Army leader (former);[3]Sand-Sand Clan leader (former);[4],Grand Line(Arabasta Kingdom)[6],Alive,20 (debut)22 (after timeskip)[6],May 26th[5],"177 cm (5'10"")[6]",,X[6],,,"Yuba, Arabasta;Katorea, Arabasta(Former)",
KozePacky,Chapter 96;Episode 48[1],Yes Pirates,Pirates,East Blue[2][3],Alive,,May 27th (Koze)[2]December 9th (Packy)[3],,,,,,,
Krieg,Chapter 45;Episode 21[1],Krieg Pirates[2],Pirate Captain/Admiral[1],East Blue[3],Alive,42 (debut)44 (after timeskip)[7],September 19th[8],"243 cm (8'0"")[3]",,XF[3],,,,"17,000,000[9]"
Kujaku;Kujyaku (OPCG),Chapter 966(cover);[1]Episode 1090[2],Marines(G-14);[1](SWORD)[2],Rear Admiral,North Blue[4],Alive,26[3],September 18th[4],"180 cm (5'11"")[3]",,X[4],Whip-Whip Fruit,Paramecia,G-14,"★★★★★ (500,000,000)[4]"
Kukai,Chapter 552;Episode 461[1],Spade Pirates[1][2],Samurai;Pirate,,Alive,,,,,,,,,
Kumadori,Chapter 375;Episode 264[1],CP0;[2]CP9[3](former),Cipher PolAgent[3],South Blue[4],Alive,34 (debut)[5]36 (after timeskip)[4],February 20th[6],"338 cm  (11'1"")[4]",,XF[4],,,,
Kumadori Yamanbako,SBS Volume 44[1],Kumadori,Assassin (former),,Alive,,,,,,,,,
Kuma-A,SBS Volume 66[1],,Pet[1],,Unknown,,,,,,,,,
Kumagoro,Chapter 929;Episode 922[1],,,,Alive,,,,,,,,Wano Country(Flower Capital),
Berry,,,,,,,,,,,,,,
Kumacy,Chapter 449;Episode 343[1],Thriller Bark Pirates(Perona)[2],"Perona's servant,[2]Wild ZombieCommander-in-Chief[3]",,Deceased,,September 4th[4],,,,,,,
Kuni,Chapter 927;Episode 919[1],Kyoshiro Family[1],,,Alive,,,,,,,,Wano Country,
Kunyun,Chapter 1020;Episode 1042[1],Beasts Pirates(Numbers),,Punk Hazard,Alive,,,,,,,,Onigashima,
Kureha,Chapter 134;Episode 80[1],Sakura Kingdom;Isshi-100,Head-Doctorof the Sakura Kingdom; Leader of theIsshi-100,Grand Line(Drum Kingdom)[2],Alive,139 (debut)[4]141 (after timeskip)[5],September 8th[2],"188 cm (6'2"")[2]",,S[2],,,Drum Island,
Kuro,Chapter 23;Episode 9[1],Black Cat Pirates,Pirate Captain(former); Butler (former),East Blue[3],Alive,33 (debut)35 (after timeskip)[2],April 22nd[4],207 cm (6’9”)[3],,X[3],,,Syrup Village(former),"16,000,000[5][6]"
Kurokoma,Chapter 960(mentioned)[1],Kurokoma Family‎,,,Unknown,,,,,,,,Flower Capital;Wano Country[1],
Kuromarimo,Chapter 131;Episode 79[1],"Bliking Pirates(disbanded),Drum Kingdom(former)[2]",Magistrate;Pirate[2],Grand Line(Drum Kingdom)[3],Alive,28 (debut)30 (after timeskip)[3],January 26th[3],"186 cm (6'1"")[3]",,F[3],,,,
Kuroobi,Chapter 69;Episode 31[1],Arlong Pirates;[2]Sun Pirates(former)[3],PirateOfficer[2],"Grand Line(Ryugu Kingdom,Fish-Man Island)",Alive,36 (debut)38 (after timeskip)[5],October 25th[4],"252 cm (8'3"")[5]",,S[5],,,Fish-Man District(former);Arlong Park(former),"9,000,000[5]"
,Chapter 920;Episode 911[1],Kouzuki Family;[1]Ninja-Pirate-Mink-Samurai Alliance,Samurai[2],,Alive,,,,,,,,Wano Country[1],
Blackbeard,Chapter 276(cover)[1],,Doctor,,Unknown,,,,,,,,,
Kurozumi Higurashi,Chapter 965;Episode 965[1],Wano Country(Kurozumi Family)[1],,Grand Line(Wano Country)[2],Deceased,,August 19th[2],"193 cm (6'4"")[2]",,F[2],Clone-Clone Fruit,Paramecia,Wano Country(Flower Capital),
Kurozumi Kanjuro,Chapter 700;Episode 629[1],Kurozumi Family;[2]Kouzuki Family(undercover);[3]Nine Red Scabbards(undercover);[4]Ninja-Pirate-Mink-Samurai Alliance(undercover);Beasts Pirates(former),Theatre Performer (former);[2]Spy of the Kurozumi Family;Samurai; Retainer of the Kouzuki Family (undercover)[3],,Deceased,,July 21st[9],"347 cm (11'5"")[5][10]",,X[5],Brush-Brush Fruit[11],Paramecia,Wano Country (Kuri)[5]Wano Country (Kibi) (Former)[6],
Kurozumi Orochi,Chapter 927;Episode 921[1],Wano Country(Kurozumi Family);[2][3]Beasts Pirates(former)[2],Shogunof Wano Country (former)[4],Grand Line(Wano Country)[5],Deceased,,September 23rd[5],"350 cm (11'6"")[5]",,XF[5],"Snake-Snake Fruit, Model: Eight Headed Serpent",Mythical Zoan,Wano Country(Flower Capital),
Kurozumi Semimaru,Chapter 965;Episode 965[1],Wano Country(Kurozumi Family)[1],Biwa hōshi,Grand Line(Wano Country)[2],Deceased,,August 23rd[2],"227 cm (7'5""), 116 cm (3'10"") (when sitting)[2]",,F[2],Barrier-Barrier Fruit,Paramecia,Wano Country(Flower Capital),
Kurozumi Tama,Chapter 911;Episode 893[1],Kurozumi Family;[2]Ninja-Pirate-Mink-Samurai Alliance(disbanded),Kunoichi in training; Kasa weaver,,Alive,8[3],March 3rd[4],"108 cm (3'6½"")[4]",,F[4],Millet-Millet Fruit[5],Paramecia,"Amigasa Village, Kuri,Wano Country[1]",
Kuzan,Chapter 303;Episode 225[1],Blackbeard Pirates;[2][3]Marines[1](resigned)[4],Pirate;[3]Titanic Captain(Captain of the Tenth Ship);[5]Admiral[1](former);[4]Vice Admiral(former)[6],South Blue(Vespa Kingdomterritory)[7],Alive,47 (debut)49 (after timeskip)[9],September 21st[10],"298 cm (9'9¼"")[11]",,F[11],Ice-Ice Fruit (Funimation);Chilly-Chilly Fruit (VIZ),Logia,Hachinosu[8],
Kyros,Chapter 702;Episode 631[1],Corrida Colosseum(former); Riku Royal Army,Gladiator (former); Riku Royal Army Captain (former),Grand Line(Dressrosa)[4],Alive,44[3][4],September 22nd[5],"298 cm (9'9"")[4]",,S[4],,,,Unknown(as Thunder Soldier)[6]
Kuween,Chapter 755;Episode 692[1],Donquixote Pirates(former),Pirate;SMILE FactoryManager (former),,Alive,20[1],May 30th[2],,,,,,,
Kyuji,"Chapter 302(cover)[1],Episode 381(newspaper)[2]",Marines[1];G-2,Chef[1],,Alive,,,,,,,,G-2,
Firstaid,Chapter 334;Episode 237[1],,Doctor,,Alive,,,,,,,,Water 7,
Laboon;Raboon (Odex),Chapter 102;Episode 62[1],Rumbar Pirates(former);Crocus[2],,West Blue[3],Alive,51 (debut)[2]53 (after timeskip)[3],September 16th[4],"400 m (1312'4"")[5]",,F[3],,,Reverse Mountain(Twin Cape),
Lacroix,Chapter 550;Episode 459,"Marines,Giant Squad",Vice Admiral,,Alive,,June 8th[1],,,,,,,"At least ★★★★★(At least500,000,000)[2]"
Lacuba,Chapter 501;Episode 394[1],N/A,Pirate;Captain(former); Slave[2](former)[3],Grand Line[4],Alive,,May 31st[5],,,,,,,"17,000,000"
Lady Tree,Chapter 873;Episode 844[1],,,,Alive,,,,,,,,,
"Lafitte (VIZ, uncut dub);Raffit (edited dub);Laffitte (WT100)",Chapter 234;Episode 151[1],Blackbeard Pirates,Pirate;Navigator;[2]Sheriff(former);[3]Titanic Captain(Captain of the Fifth Ship); Chief of Staff[4],West Blue[4],Alive,39 (debut)41 (after timeskip)[4],March 13th[6],"340 cm (11'2"")[4]",,X[4],,,Hachinosu[7],"At least42,200,000[4]"
Lao G,Chapter 682;Episode 608[1],Donquixote Pirates[1],PirateOfficer[1],North Blue[4],Alive,70[2],October 7th[3],"157 cm (5'2"")[4]",,F[4],,,Spider Miles(former);Dressrosa(former),"61,000,000[4]"
Lasky,Chapter 392;Episode 276[1],CP9(former),Cipher PolAgent,,Unknown,,,,,,,,,
Lassoo,Chapter 160;Episode 103[1],New Spiders Cafe;Baroque Works[1](former),Cafe Mascot;[2]Pet[1],,Alive,,January 4th[3],,,,"Mutt-Mutt Fruit, Dachshund Type (Viz);Mutt-Mutt Fruit (4Kids);Mutt-Mutt Fruit Fruit, Dachshund Variety (Funimation)",Zoan,,
Lemoncheese,Chapter 906;Episode 884[1],Levely[2],Queen[2],,Alive,,,,,,,,Bestland Kingdom[3],
Leo,Chapter 710;Episode 640[1],Tontatta Kingdom;[2]Straw Hat Grand Fleet(Tontatta Pirates)[3],Captain of the Fifth Ship of the Straw Hat Grand Fleet;Captainof the Tontatta Pirates;[4],Grand Line(Green Bit)[5],Alive,25[6],July 24th[7],"23 cm (9"")[5]",,S[5],Stitch-Stitch Power (VIZ and Funimation);Sew-Sew Fruit (One Piece Official YouTube Channel)[8],Paramecia,,
Leonero,Chapter 552;Episode 461[1],Spade Pirates[1],Pirate[1],,Alive,,,,,,,,,
Lilith,Chapter 1061;Episode 1090[1],Marines(SSG) (Former),,Grand Line(Egghead)[2],Alive,2 (biologically 24)[2],March 22nd[2],"204 cm (6'8"")[2]",,S[2],,,Egghead,
Lily,Chapter 223;Episode 146[1],Bellamy Pirates[1],,,Unknown,,,,,,,,,
Lime Juice;Limejuice (OPCG),Chapter 1;Episode 4[1],Red Hair Pirates[1],Pirate;Senior Officer[1],,Alive,,,,,,,,,
Linaria,Chapter 1079;Episode 1112[1],Night Butterfly Pirates;Red Hair Pirates,Pirate Captain[2],,Alive,,,,,,,,,
Lindbergh,Chapter 904;Episode 880[1],Revolutionary Army(South Army)[2],South Army Commander of the Revolutionary Army[2],,Alive,37[3],May 21st[3],"149 cm (4'11"")[3]",,F[3],,,Baltigo(former);Momoiro Island,"316,000,000[3]"
Lines,Chapter 44;Episode 21[1],,Marine Seaman First Class,East Blue[2],Alive,,December 27th[2],,,,,,,"At least100,000[3]"
,Chapter 22;Episode 18[1],Animals of theIsland of Rare Animals,,,Alive,,,,,,,,,
Lip Doughty[1],Chapter 600;Episode 519[1],Fake Straw Hat Crew;[1]His own crew[1],Pirate;Captain[1],,Alive,,,,,,,,,"88,000,000[1]"
Little Oars Jr.,Chapter 554;Episode 463[1],Little Pirates;[2]Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],Grand Line[2],Unknown,70 (debut)72 (after timeskip)[2],February 12th[3],"60 m (196'10"")[4]",,F[2],,,,"550,000,000[2]"
Loki,Chapter 1130[1],,Prince[2],Grand Line(Elbaph)[3],Alive,63[3],,,,,,,,"2,600,000,000[7]"
Lola,Chapter 451;Episode 345[1],Thriller Bark Pirates,General Zombie[2],,Deceased,,,,,,,,,
Lonz,Chapter 550;Episode 459[1],"Marines,Giant Squad[1]",Vice Admiral[1],,Alive,,June 2nd[3],,,,,,,"At least ★★★★★(At least500,000,000)[2]"
"""Local Sea Monster"";[1]Master of the Near Sea(video games);Lord of the Coast(live-action series,[2]OPCG)",Chapter 1;Episode 4[3],,Foosha Village's localSea King,East Blue[4],Alive,,September 14th[5],,,,,,,
Louis Arnote (Funimation);Louis Arnot (Viz),Chapter 115;Episode 70(mentioned)[1],,Explorer[1],Grand Line[2],Unknown,,December 20th[2],,,,,,,
Lucky Roux;Lucky Roo (WT100),Chapter 1;Episode 4[1],Red Hair Pirates[1],Pirate;Senior Officer;[1]Cook[2][3][4],South Blue[2],Alive,23 (debut);33 (pre-timeskip);35 (after timeskip)[2],July 6th[5],"241 cm (7'11"")[2]",,F[2],,,,Unknown[2]
Du Feld,Chapter 860;[1]Episode 828,Lu Feld Conglomerate;[2]Underworld;[1]MADS(former)[3],Emperor of the Underworld[4],,Unknown,,December 29th[5],,,,,,,
Lulis[1],Chapter 608;Episode 527[2],Mermaid Cafe,Dancer,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
"Machvise (FUNimation Simulcast, Formerly Viz);[1]Mach Vise (Viz)",Chapter 682;Episode 608[2],Donquixote Pirates[1],PirateOfficer[1],North Blue[5],Alive,52[3],August 13th[4],"440 cm (14'5"")[5]",,S[5],Ton-Ton Fruit,Paramecia,Spider Miles(former);Dressrosa(former),"11,000,000[5]"
Macro,Chapter 197(cover);[1]Episode 386,Macro Pirates;[2]Sun Pirates(former)[3],Pirate;Captain;Slave trader[2],Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,September 6th[4],,,,,,Fish-Man District(former),
Macro,Chapter 437(cover)[1],Automata,Colonel,,Alive,,,,,,,,,
Madillo-Man,Chapter 939;Episode 935[1],Beasts Pirates[1],Gifter[1],,Alive,,,,,,ArmadilloSMILE,Artificial Zoan,,
Mag,Chapter 1134[1],Walrus School[1],Student[1],,Alive,,,,,,,,Elbaph[1],
Magellan,Chapter 528;Episode 425[1],Impel Down[1],Vice Warden;[2]Chief Warden[1](former),Grand Line[3],Alive,45 (debut)47 (after timeskip)[3],October 9th[4],"491 cm (16'1"")[3]",,X[3],Venom-Venom Fruit,Paramecia[5],,
Magura (VIZ);Magra (Funimation),Chapter 582;Episode 493,Dadan Family,Bandit,,Alive,,October 30th[1],,,,,,Mt. Colubo,
Maha,Chapter 929;Episode 922[1],CP0[1],Cipher PolAgent[1],,Unknown,,,,,,,,,
Maidy[1],Chapter 215;Episode 129[2],Nefertari Family[2],Lady's maid[2],,Alive,,,,,,,,"Alubarna,Arabasta[2]",
,Chapter 925;Episode 917[1],Blackbeard Pirates,,,Alive,,,,,,,,,
Makino,Chapter 1;Episode 4[1],Partys Bar,Bar Owner[2]; Bartender,East Blue(Foosha Village)[2],Alive,19 (debut);29 (pre-timeskip)31 (after timeskip)[2],February 23rd[3],"166 cm (5'5"")[2]",,S[2],,,Foosha Village,
,Chapter 614;[1]Episode 878[2],,,East Blue(Foosha Village)[3],Alive,0–1[3],,,,,,,,
Makko,Chapter 216[1],Marines; Black Cage Corps[1],MarineEnsign[2],,Alive,,,,,,,,,"At least1,000,000[3]"
"Mamboshi;Manboshi(Funimation simulcast, formerly)",Chapter 609;Episode 528[1],Neptune Family[2],Princeof theRyugu Kingdom[2],Grand Line(Ryugu Kingdom)[3],Alive,20[3],March 30th[4],"473 cm (15'6"")[3]",,S[3],,,Ryugu Palace[2],
Mani,Chapter 223;Episode 146[1],Bellamy Pirates[1],Combatant[1],,Unknown,,,,,,,,,
Manjaro[1],Chapter 598;Episode 518[2],Fake Straw Hat Crew[2],Pirate[2],East Blue[3],Alive,25[3],September 9th[3],"202 cm (6'7"")[3]",,S[3],,,,
Mancherie; Mansherry,Chapter 717;Episode 647[1],Tontatta Kingdom,Princess,Grand Line(Green Bit)[2],Alive,25[2],January 28th[3],"20 cm (7.87"")[4]",,X[2],Heal-Heal Fruit,Paramecia,,
Marco,Chapter 234;Episode 151[1],Whitebeard Pirates(former);[2]Ninja-Pirate-Mink-Samurai Alliance(disbanded),1st DivisionCommander(former);[2]Doctor;[3]Apprentice(former)[4],Grand Line[5],Alive,43 (debut)45 (after timeskip)[5],October 5th[7],"203 cm (6'8"")[5]",,X[5],"Tweet-Tweet Fruit, Phoenix Model(Crunchy subs)Bird-Bird Fruit, Model: Phoenix(One Piece Official YouTube Channel)[10]",Mythical Zoan,Sphinx,"1,374,000,000[5]"
St. Marcus Mars,Chapter 233;Episode 151[1],Five Elders;[1]World Nobles[2],"Co-Head of theWorld Government(Public);[1]Warrior God of Environment(環境武神,Kankyō Bushin?, English versions: ""Godhead of Environment"")[3]",,Alive,,,,,,,,Mary Geoise[1],
Margarita,Chapter 483;Episode 375[1],Neutral civilian,Maid,,Alive,,,,,,,,,
"Marguerite (VIZ),Margaret (Funimation)",Chapter 514;Episode 408[1],Kuja;[1]Kuja Pirates[2],"Warrior,[1]Pirate[2]",Calm Belt(Amazon Lily)[3],Alive,16 (debut)18 (after timeskip)[3],April 9th[4],"178 cm (5'10"")[3]",,F[3],,,Amazon Lily,
,Chapter 906;Episode 884[1],Levely[2],King[2],,Alive,,,,,,,,Czacho Kingdom[3],
Maria Napole,Chapter 649;Episode 569[1],Fish-Man Island[1],Singer[1],Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Ryugu Kingdom,
Marianne[1],Chapter 117;Episode 70[2],New Spiders Cafe;[3]Baroque Works[4](former),Cafe Employee;[3]Officer Agent[4](former),North Blue[5],Alive,16 (debut)18 (after timeskip)[5],April 29th[6],"145 cm (4'9"")[5]",,XF[5],,,,"29,000,000[5]"
Marie,Chapter 499;Episode 393[1],Saint Charlos;Judy[1],Slave;Nurse(former)[1],Grand Line[2],Alive,,November 2nd[2],,,,,,Mary Geoise;Sabaody Archipelago(former)[1],
Marilyn,Chapter 300;Episode 193[1],Neutral civilian,Miss Skypiea (former),,Alive,,,,,,,,,
Marin,Chapter 500;Episode 394[1],,Slave[1],Grand Line(Sabaody Archipelago)[2],Alive,,October 17th[2],,,,,,Sabaody Archipelago,
Mario,Chapter 701;Episode 630[1],,,,Alive,,,,,,,,,
"Marshall D. Teech (VIZ, Funimation subs, edited dub);Marshall D. Teach (Funimation uncut dub)",Chapter 223;Episode 146[1],Blackbeard Pirates;[2]Four Emperors;[3]Clan of D.;Seven Warlords of the Sea[4](former);[5]Whitebeard Pirates2nd Division[6](defected)[7],Pirate;[2]Admiral;[8]Emperor;[3]Apprentice(former);Warlord of the Sea[4](former)[5],Grand Line(Shade Port)[9],Alive,38 (debut)[11]40 (after timeskip)[12],August 3rd[13],"344 cm (11'3"") (debut, after timeskip)[11][12]",,F[14],Tremor-Tremor Fruit,Paramecia,Hachinosu[10],"3,996,000,000[15]2,247,600,000[16]0[4]"
Marmieta,Chapter 436[1],,,,Alive,,,,,,,,Pucci[2],
Mash,Chapter 204(cover)[1],Sea Floor[1],Holder of the Takoyaki recipe and sauce[2],,Unknown,,,,,,,,,
Mashikaku,Chapter 98;Episode 48[1],Marines[1];Loguetown Marine Base,MarineChief Petty Officer,East Blue[2],Alive,,December 26th[2],,,,,,Loguetown,"At least100,000[3]"
Masira,Chapter 219;Episode 144[1],Saruyama Alliance(Masira Pirates)[1],Pirate;Boss[1],North Blue[3],Alive,23 (debut)25 (after timeskip)[3],March 4th[2],"345 cm (11'4"")[3]",,F[3],,,Jaya,"23,000,000"
Masked Deuce,Chapter 552;Episode 461[1],Spade Pirates;[2]Whitebeard Pirates,Journalist;Pirate(former);Doctor(former);Explorer(former),,Alive,,,,,,,,,
,Chapter 911;Episode 893[1],Beasts Pirates[1],Waiter[1],,Alive,,,,,,,,,
Boss,Chapter 233;Episode 145[1],,Digger[1],,Alive,,,,,,,,,
,Chapter 319;Episode 227[1],,Sea King,,Unknown,,,,,,,,,
Mato,Chapter 1076;Episode 1109[1],,Bartender,,Alive,,,,,,,,Elbaph,
Mattryoshesses,Chapter 905;Episode 882[1],,Princessesof theRoshwan Kingdom[1],,Alive,,,,,,,,Roshwan Kingdom[1],
Mattryoshesses,Chapter 905;Episode 882[1],,Princessesof theRoshwan Kingdom[1],,Alive,,,,,,,,Roshwan Kingdom[1],
Mattryoshesses,Chapter 905;Episode 882[1],,Princessesof theRoshwan Kingdom[1],,Alive,,,,,,,,Roshwan Kingdom[1],
Mattryoshesses,Chapter 905;Episode 882[1],,Princessesof theRoshwan Kingdom[1],,Alive,,,,,,,,Roshwan Kingdom[1],
"Eyelashes (Viz),Eyelash (4Kids, FUNimation dub),Lashes (FUNimation subs),Matsuge (WT100)",Chapter 162;[1]Episode 93[2],Super Spot-Billed Duck Troops[3],Royal Transport,Grand Line(Arabasta Kingdom)[4],Alive,15 (debut)17 (after timeskip)[4],August 17th[4],"190 cm (6'3"")[4]",,F[4],,,Alubarna;Rainbase(former),
"Mouji, Mousey",Chapter 755;Episode 692[1],Tontatta Kingdom;[1]Tontatta Pirates;Straw Hat Grand Fleet,Aide to PrincessMansherry;[1]Pirate[2],,Alive,,,,,,,,,
Maynard,Chapter 705;Episode 634[1],Marines,Vice Admiral,,Alive,,May 7th[3],,,,,,,"At least ★★★★★(At least500,000,000)[4]"
Max Marx,Chapter 966;Episode 967[1],Roger Pirates[1],Pirate,,Unknown,,,,,,,,,
Mayushka[1],Chapter 269;Episode 176[2],Shandia[2],ShandiaWarrior[2],,Alive,,,,,,,,,
McGuy,Chapter 551;Episode 460[1],Subordinate of theWhitebeard Pirates[1],Pirate;Captain[1],,Alive,,September 3rd[2],,,,,,,
McKinley,Chapter 241;Episode 155[1],White Berets[1],Law enforcement official[1],,Alive,,,,,,,,,
Meadows,Chapter 706;Episode 659[1],Corrida Colosseum,Gladiator,,Alive,,,,,,,,,
Mecha-Shark,Chapter 1061;Episode 1089[1],Vegapunk[1],,,Unknown,,,,,,,,Egghead[1],
Megalo,Chapter 605;Episode 525[1],Ryugu Kingdom[2],Shirahoshi'spet[3],,Alive,,April 8th[4],,,,,,,
Mello (Viz); Mero (FUNimation),Chapter 608;Episode 527[1],Mermaid Cafe,Dancer,Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Mermaid Cove(Coral Hill),
Merry,Chapter 24;Episode 11[1],Kaya,Butler,East Blue(Syrup Village)[2],Alive,,January 22nd[3][2],,,,,,Syrup Village,
,Chapter 963[1],Germ Pirates[1],Pirate[1],,Alive,,,,,,,,,
MichaelHoichael,Chapter 432;[1]Episode 313[2],Aunt(Non-Canon)≠,Elementary school students (pre-timeskip),,Alive,12 (debut)14 (after timeskip),July 18th[3],,,,,,Water 7,
Mihal,Chapter 552;Episode 461[1],"Spade Pirates,[1]Whitebeard Pirates",Teacher (former);PirateOfficer;Sniper[1],,Alive,,,,,,,,,
Mikazuki,Chapter 323;Episode 230[1],Big Helmet Pirates,Pirate Captain,,Alive,,February 10th[2],,,,,,,"36,000,000"
Mikio Itoo,Chapter 1[2],,,East Blue[3],Alive,,March 26th[3],,,,,,,"¥1,000,000"
Mikita,Chapter 110;Episode 65[1],New Spiders Cafe;Baroque Works(former)[2],Cafe Pâtissier;Officer Agent[2][3](former),West Blue[5],Alive,22 (debut)24 (after timeskip)[5],February 14th[4],"177 cm (5'10"")[5]",,XF[5],Kilo-Kilo Fruit,Paramecia,,"7,500,000[5]"
,Chapter 649;Episode 569[1],Fish-Man Island[1],Trumpeter[1],Grand Line(Ryugu Kingdom;Fish-Man Island),Alive,,,,,,,,Ryugu Kingdom,
Milky,Chapter 807;Episode 757(image)[1]Chapter 814;Episode 765[2],Mokomo Dukedom;Guardians[2];Ninja-Pirate-Mink-Samurai Alliance,Guardian[2],,Alive,,,,,,,,Zou(Whale Forest)[2],
Mille Pine,Chapter 966[1];Episode 959[2],Roger Pirates[1],Pirate[1],,Unknown,,,,,,,,,
Milo,Chapter 717;Episode 647[1],,,,Alive,,,,,,,,,
Minatomo,SBS Volume 7;[1]Episode 51[2],Easter egg[1],Carpenter[1],,Alive,At least 55[3],,,,,,,,
Minatomo,Chapter 909;Episode 892[1],,Carpenter,,Alive,,,,,,,,Wano Country(Flower Capital),
Minister of the Left,Chapter 612;Episode 531,Ryugu Kingdom,Minister of Ryugu Kingdom,Grand Line(Ryugu Kingdom)[1],Alive,62[1],July 2nd[2],"435 cm (14'3"")[1]",,X[1],,,,
Minister of the Right,Chapter 612;Episode 531[1],Ryugu Kingdom,Minister of Ryugu Kingdom,Grand Line(Ryugu Kingdom)[2],Alive,55[2],April 5th[3],"313 cm (10'3"")[2]",,XF[2],,,,
Minochihuahua,Chapter 662(cover)[1],Impel Down,Jailer Beast,,Alive,,,,,,,,,
Minokoala,Chapter 531;Episode 432[1],Impel Down;World Government,Jailer Beast,,Alive,,March 5th[2],,,,,,,
